Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Logan O'Connor,COL,R,R,1996-08-14,Missouri City,TX,USA,USA,72,175,--,--,--,20182019,N,14,1,1,2
Kyle MacLean,NYI,L,C,1999-04-29,Livingston,NJ,USA,USA,73,194,--,--,--,20232024,N,14,0,1,1
Kirby Dach,MTL,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,221,2019,1,3,20192020,N,14,1,4,5
Bowen Byram,BUF,L,D,2001-06-13,Cranbrook,BC,CAN,CAN,73,205,2019,1,4,20202021,N,14,3,6,9
Dylan Cozens,BUF,R,C,2001-02-09,Whitehorse,YT,CAN,CAN,75,207,2019,1,7,20202021,N,14,2,3,5
Cole Caufield,MTL,R,R,2001-01-02,Mosinee,WI,USA,USA,68,175,2019,1,15,20202021,N,14,10,1,11
Henry Thrun,SJS,L,D,2001-03-12,Southborough,MA,USA,USA,74,190,2019,4,101,20222023,N,14,0,3,3
Simon Holmstrom,NYI,L,R,2001-05-24,Tranas,--,SWE,SWE,74,215,2019,1,23,20222023,N,14,1,4,5
Jordan Spence,LAK,R,D,2001-02-24,Manly,--,AUS,CAN,71,180,2019,4,95,20212022,N,14,1,3,4
Vasily Podkolzin,EDM,L,R,2001-06-24,Moscow,--,RUS,RUS,73,190,2019,1,10,20212022,N,14,0,3,3
Alex Newhook,MTL,L,C,2001-01-28,St. John's,NL,CAN,CAN,71,200,2019,1,16,20202021,N,14,4,0,4
Joel Kiviranta,COL,L,L,1996-03-23,Vantaa,--,FIN,FIN,71,185,--,--,--,20192020,N,14,4,0,4
Matias Maccelli,UTA,L,L,2000-10-14,Turku,--,FIN,FIN,71,185,2019,4,98,20212022,N,14,3,4,7
Cole Smith,NSH,L,R,1995-10-28,Brainerd,MN,USA,USA,75,195,--,--,--,20202021,N,14,1,1,2
Mitchell Chaffee,TBL,R,R,1998-01-26,Grand Rapids,MI,USA,USA,73,204,--,--,--,20212022,N,14,4,2,6
Connor Zary,CGY,L,C,2001-09-25,Saskatoon,SK,CAN,CAN,72,178,2020,1,24,20232024,N,14,3,5,8
Dylan Holloway,STL,L,L,2001-09-23,Calgary,AB,CAN,CAN,73,206,2020,1,14,20222023,N,14,4,2,6
Jake Neighbours,STL,L,L,2002-03-29,Calgary,AB,CAN,CAN,72,201,2020,1,26,20212022,N,14,4,2,6
Anton Lundell,FLA,L,C,2001-10-03,Espoo,--,FIN,FIN,73,196,2020,1,12,20212022,N,14,6,8,14
Jamie Drysdale,PHI,R,D,2002-04-08,Toronto,ON,CAN,CAN,71,185,2020,1,6,20202021,N,14,1,2,3
Luke Evangelista,NSH,R,R,2002-02-21,Toronto,ON,CAN,CAN,72,183,2020,2,42,20222023,N,14,1,6,7
Cole Perfetti,WPG,L,C,2002-01-01,Whitby,ON,CAN,CAN,71,185,2020,1,10,20212022,N,14,4,7,11
Wyatt Kaiser,CHI,L,D,2002-07-31,Andover,MN,USA,USA,72,173,2020,3,81,20222023,N,14,0,1,1
J.J. Moser,TBL,L,D,2000-06-06,Biel,--,CHE,CHE,74,181,2021,2,60,20212022,N,14,2,4,6
Matty Beniers,SEA,L,C,2002-11-05,Hingham,MA,USA,USA,74,181,2021,1,2,20212022,N,14,3,6,9
William Eklund,SJS,L,L,2002-10-12,Stockholm,--,SWE,SWE,71,181,2021,1,7,20212022,N,14,2,7,9
Owen Power,BUF,L,D,2002-11-22,Mississauga,ON,CAN,CAN,78,226,2021,1,1,20212022,N,14,3,6,9
Dylan Guenther,UTA,R,R,2003-04-10,Edmonton,AB,CAN,CAN,73,191,2021,1,9,20222023,N,14,7,5,12
Mackie Samoskevich,FLA,R,R,2002-11-15,Newtown,CT,USA,USA,71,180,2021,1,24,20232024,N,14,2,2,4
Matthew Knies,TOR,L,L,2002-10-17,Phoenix,AZ,USA,USA,75,227,2021,2,57,20222023,N,14,7,2,9
Ryker Evans,SEA,L,D,2001-12-13,Calgary,AB,CAN,CAN,72,195,2021,2,35,20232024,N,14,3,5,8
Logan Cooley,UTA,L,C,2004-05-04,Pittsburgh,PA,USA,USA,72,191,2022,1,3,20232024,N,14,2,9,11
Conor Geekie,TBL,L,C,2004-05-05,Strathclair,MB,CAN,CAN,76,207,2022,1,11,20242025,N,14,2,1,3
Lane Hutson,MTL,L,D,2004-02-14,Holland,MI,USA,USA,69,162,2022,2,62,20232024,N,14,0,7,7
Shane Wright,SEA,R,C,2004-01-05,Burlington,ON,CAN,CAN,72,192,2022,1,4,20222023,N,14,1,1,2
Andrei Kuzmenko,CGY,R,L,1996-02-04,Yakutsk,--,RUS,RUS,71,194,--,--,--,20222023,N,14,1,6,7
Ivan Ivan,COL,L,C,2002-08-20,Ostrava,--,CZE,CZE,72,190,--,--,--,20242025,N,14,3,2,5
Sam Malinski,COL,R,D,1998-07-27,Lakeville,MN,USA,USA,71,190,--,--,--,20232024,N,14,0,3,3
Uvis Balinskis,FLA,L,D,1996-08-01,Ventspils,--,LVA,LVA,72,196,--,--,--,20232024,N,14,0,4,4
Maxim Tsyplakov,NYI,L,R,1998-09-19,Moscow,--,RUS,RUS,75,210,--,--,--,20242025,N,14,2,6,8
Claude Giroux,OTT,R,R,1988-01-12,Hearst,ON,CAN,CAN,71,188,2006,1,22,20072008,N,13,5,6,11
Patrick Maroon,CHI,L,L,1988-04-23,St. Louis,MO,USA,USA,75,234,2007,6,161,20112012,N,13,0,3,3
Alex Pietrangelo,VGK,R,D,1990-01-18,King City,ON,CAN,CAN,75,215,2008,1,4,20082009,N,13,1,11,12
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,13,2,2,4
Travis Hamonic,OTT,R,D,1990-08-16,St. Malo,MB,CAN,CAN,72,195,2008,2,53,20102011,N,13,0,0,0
John Tavares,TOR,L,C,1990-09-20,Mississauga,ON,CAN,CAN,73,211,2009,1,1,20092010,N,13,5,6,11
Brayden McNabb,VGK,L,D,1991-01-21,Davidson,SK,CAN,CAN,76,215,2009,3,66,20112012,N,13,1,1,2
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,13,2,2,4
Craig Smith,CHI,R,C,1989-09-05,Madison,WI,USA,USA,73,203,2009,4,98,20112012,N,13,4,2,6
Nick Jensen,OTT,R,D,1990-09-21,Rogers,MN,USA,USA,72,196,2009,5,150,20162017,N,13,1,5,6
Mats Zuccarello,MIN,L,R,1987-09-01,Oslo,--,NOR,NOR,68,181,--,--,--,20102011,N,13,6,6,12
Mark Stone,VGK,R,R,1992-05-13,Winnipeg,MB,CAN,CAN,75,210,2010,6,178,20122013,N,13,6,15,21
Nick Cousins,OTT,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,13,1,3,4
Joel Edmundson,LAK,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,13,3,2,5
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,13,1,5,6
Tanner Pearson,VGK,L,L,1992-08-10,Kitchener,ON,CAN,CAN,73,207,2012,1,30,20132014,N,13,3,4,7
Tomas Hertl,VGK,L,C,1993-11-12,Praha,--,CZE,CZE,75,220,2012,1,17,20132014,N,13,4,8,12
Colton Sissons,NSH,R,C,1993-11-05,North Vancouver,BC,CAN,CAN,73,200,2012,2,50,20132014,N,13,1,0,1
Nate Schmidt,FLA,L,D,1991-07-16,St. Cloud,MN,USA,USA,72,197,--,--,--,20132014,N,13,1,3,4
Connor Clifton,BUF,R,D,1995-04-28,Matawan,NJ,USA,USA,71,195,2013,5,133,20182019,N,13,0,3,3
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,13,3,2,5
Anthony Mantha,CGY,L,R,1994-09-16,Longueuil,QC,CAN,CAN,77,234,2013,1,20,20152016,N,13,4,3,7
Frederick Gaudreau,MIN,R,C,1993-05-01,Bromont,QC,CAN,CAN,72,184,--,--,--,20162017,N,13,2,5,7
Ivan Barbashev,VGK,L,C,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,13,7,8,15
Brandon Montour,SEA,R,D,1994-04-11,Brantford,ON,CAN,CAN,72,199,2014,2,55,20162017,N,13,4,6,10
Ryan Donato,CHI,L,C,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,13,7,3,10
Jake Walman,SJS,L,D,1996-02-20,Toronto,ON,CAN,CAN,73,218,2014,3,82,20192020,N,13,1,8,9
Michael Amadio,OTT,R,R,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,199,2014,3,90,20172018,N,13,0,2,2
Sam Lafferty,BUF,R,C,1995-03-06,Hollidaysburg,PA,USA,USA,74,205,2014,4,113,20192020,N,13,1,0,1
Jake Middleton,MIN,L,D,1996-01-02,Wainwright,AB,CAN,CAN,75,219,2014,7,210,20182019,N,13,2,6,8
Noah Hanifin,VGK,L,D,1997-01-25,Boston,MA,USA,USA,75,206,2015,1,5,20152016,N,13,3,5,8
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,206,2015,1,2,20152016,N,13,4,15,19
Jordan Greenway,BUF,L,L,1997-02-16,Canton,NY,USA,USA,78,231,2015,2,50,20172018,N,13,3,3,6
Keegan Kolesar,VGK,R,R,1997-04-08,Brandon,MB,CAN,CAN,74,216,2015,3,69,20192020,N,13,4,4,8
Nicolas Roy,VGK,R,C,1997-02-05,Amos,QC,CAN,CAN,76,201,2015,4,96,20172018,N,13,3,5,8
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,73,203,2015,1,18,20162017,N,13,1,6,7
Yakov Trenin,MIN,L,C,1997-01-13,Chelyabinsk,--,RUS,RUS,74,201,2015,2,55,20192020,N,13,0,1,1
Kirill Kaprizov,MIN,L,L,1997-04-26,Novokuznetsk,--,RUS,RUS,70,202,2015,5,135,20202021,N,13,7,17,24
Zach Hyman,EDM,R,L,1992-06-09,Toronto,ON,CAN,CAN,73,206,2010,5,123,20152016,N,14,3,2,5
Nino Niederreiter,WPG,L,R,1992-09-08,Chur,--,CHE,CHE,74,218,2010,1,5,20102011,N,14,7,5,12
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,185,2010,5,147,20122013,N,14,6,1,7
Josh Manson,COL,R,D,1991-10-07,Hinsdale,IL,USA,CAN,75,218,2011,6,160,20142015,N,14,1,4,5
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,14,0,2,2
Adam Lowry,WPG,L,C,1993-03-29,St. Louis,MO,USA,USA,77,210,2011,3,67,20142015,N,14,2,9,11
Blake Coleman,CGY,L,C,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,14,3,4,7
Jean-Gabriel Pageau,NYI,R,C,1992-11-11,Ottawa,ON,CAN,CAN,71,195,2011,4,96,20122013,N,14,4,2,6
Scott Mayfield,NYI,R,D,1992-10-14,St. Louis,MO,USA,USA,77,213,2011,2,34,20132014,N,14,0,2,2
Nikita Kucherov,TBL,L,R,1993-06-17,Maykop,--,RUS,RUS,72,180,2011,2,58,20132014,N,14,11,12,23
Ryan Nugent-Hopkins,EDM,L,C,1993-04-12,Burnaby,BC,CAN,CAN,73,192,2011,1,1,20112012,N,14,1,4,5
Jonathan Huberdeau,CGY,L,C,1993-06-04,Saint-Jerome,QC,CAN,CAN,73,200,2011,1,3,20122013,N,14,5,3,8
Adam Larsson,SEA,R,D,1992-11-12,Skelleftea,--,SWE,SWE,75,207,2011,1,4,20112012,N,14,1,2,3
Mark Scheifele,WPG,R,C,1993-03-15,Kitchener,ON,CAN,CAN,75,207,2011,1,7,20112012,N,14,7,11,18
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,14,3,5,8
Jamie Oleksiak,SEA,L,D,1992-12-21,Toronto,ON,CAN,CAN,79,252,2011,1,14,20122013,N,14,1,3,4
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,14,2,4,6
Vladislav Namestnikov,WPG,L,C,1992-11-22,Zhukovskiy,--,RUS,RUS,72,181,2011,1,27,20132014,N,14,3,6,9
Colin Miller,WPG,R,D,1992-10-29,Sault Ste. Marie,ON,CAN,CAN,73,200,2012,5,151,20152016,N,14,2,4,6
Jonathan Marchessault,NSH,R,R,1990-12-27,Cap-Rouge,QC,CAN,CAN,69,185,--,--,--,20122013,N,14,2,5,7
Luke Glendening,TBL,R,C,1989-04-28,Grand Rapids,MI,USA,USA,71,190,--,--,--,20132014,N,14,0,0,0
Yanni Gourde,SEA,L,C,1991-12-15,Saint-Narcisse,QC,CAN,CAN,69,174,--,--,--,20152016,N,14,0,3,3
Morgan Rielly,TOR,L,D,1994-03-09,Vancouver,BC,CAN,CAN,73,225,2012,1,5,20132014,N,14,4,5,9
Brady Skjei,NSH,L,D,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,1,28,20152016,N,14,2,4,6
Scott Laughton,PHI,L,C,1994-05-30,Oakville,ON,CAN,CAN,73,191,2012,1,20,20122013,N,14,2,3,5
Mike Matheson,MTL,L,D,1994-02-27,Pointe-Claire,QC,CAN,CAN,74,196,2012,1,23,20152016,N,14,0,9,9
Zemgus Girgensons,TBL,L,C,1994-01-05,Riga,--,LVA,LVA,75,192,2012,1,14,20132014,N,14,0,0,0
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,14,6,5,11
Radek Faksa,STL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,14,1,1,2
Colton Parayko,STL,R,D,1993-05-12,St. Albert,AB,CAN,CAN,78,228,2012,3,86,20152016,N,14,4,5,9
Chandler Stephenson,SEA,L,C,1994-04-22,Saskatoon,SK,CAN,CAN,72,201,2012,3,77,20152016,N,14,1,8,9
Jake McCabe,TOR,L,D,1993-10-12,Eau Claire,WI,USA,USA,73,212,2012,2,44,20132014,N,14,0,5,5
Brett Kulak,EDM,L,D,1994-01-06,Edmonton,AB,CAN,CAN,74,192,2012,4,105,20142015,N,14,3,1,4
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,14,2,4,6
Connor Brown,EDM,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,14,1,1,2
Alexander Kerfoot,UTA,L,C,1994-08-11,Vancouver,BC,CAN,CAN,71,185,2012,5,150,20172018,N,14,2,2,4
MacKenzie Weegar,CGY,R,D,1994-01-07,Ottawa,ON,CAN,CAN,72,206,2013,7,206,20162017,N,14,3,3,6
Pavel Buchnevich,STL,L,L,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,14,4,5,9
Jake Guentzel,TBL,L,C,1994-10-06,Omaha,NE,USA,USA,71,178,2013,3,77,20162017,N,14,5,8,13
Mattias Janmark,EDM,L,C,1992-12-08,Danderyd,--,SWE,SWE,74,205,2013,3,79,20152016,N,14,1,2,3
Carter Verhaeghe,FLA,L,C,1995-08-14,Toronto,ON,CAN,CAN,74,183,2013,3,82,20192020,N,14,4,7,11
Nick Paul,TBL,L,L,1995-03-20,Mississauga,ON,CAN,CAN,76,230,2013,4,101,20152016,N,14,4,7,11
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,203,2013,1,23,20142015,N,14,0,6,6
Nathan MacKinnon,COL,R,C,1995-09-01,Halifax,NS,CAN,CAN,72,200,2013,1,1,20132014,N,14,6,19,25
Darnell Nurse,EDM,L,D,1995-02-04,Hamilton,ON,CAN,CAN,76,215,2013,1,7,20142015,N,14,0,6,6
Rasmus Ristolainen,PHI,R,D,1994-10-27,Turku,--,FIN,FIN,76,208,2013,1,8,20132014,N,14,1,1,2
Bo Horvat,NYI,L,C,1995-04-05,London,ON,CAN,CAN,73,215,2013,1,9,20142015,N,14,5,7,12
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,209,2013,1,12,20152016,N,14,0,6,6
Josh Morrissey,WPG,L,D,1995-03-28,Calgary,AB,CAN,CAN,72,195,2013,1,13,20152016,N,14,2,14,16
Ryan Pulock,NYI,R,D,1994-10-06,Dauphin,MB,CAN,CAN,74,220,2013,1,15,20152016,N,14,0,5,5
Garnet Hathaway,PHI,R,R,1991-11-23,Naples,FL,USA,USA,74,212,--,--,--,20152016,N,14,1,4,5
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,220,2014,1,1,20142015,N,14,0,6,6
Sam Reinhart,FLA,R,C,1995-11-06,West Vancouver,BC,CAN,CAN,73,196,2014,1,2,20142015,N,14,11,11,22
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,14,9,7,16
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,14,8,6,14
William Nylander,TOR,R,R,1996-05-01,Calgary,AB,CAN,SWE,72,202,2014,1,8,20152016,N,14,10,5,15
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,14,8,9,17
Kevin Fiala,LAK,L,L,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,14,7,5,12
Travis Sanheim,PHI,L,D,1996-03-29,Elkhorn,MB,CAN,CAN,76,222,2014,1,17,20172018,N,14,3,3,6
Alex Tuch,BUF,R,R,1996-05-10,Syracuse,NY,USA,USA,76,219,2014,1,18,20162017,N,14,4,8,12
Nick Schmaltz,UTA,R,C,1996-02-23,Madison,WI,USA,USA,72,184,2014,1,20,20162017,N,14,0,12,12
Jared McCann,SEA,L,L,1996-05-31,Stratford,ON,CAN,CAN,73,191,2014,1,24,20152016,N,14,6,10,16
Christian Dvorak,MTL,L,C,1996-02-02,Palos,IL,USA,USA,73,190,2014,2,58,20162017,N,14,1,4,5
Viktor Arvidsson,EDM,R,L,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,14,1,3,4
Michael Bunting,PIT,L,L,1995-09-17,Scarborough,ON,CAN,CAN,72,186,2014,4,117,20182019,N,14,1,1,2
Gustav Forsling,FLA,L,D,1996-06-12,Linkoping,--,SWE,SWE,73,199,2014,5,126,20162017,N,14,3,5,8
Jake Evans,MTL,R,C,1996-06-02,Toronto,ON,CAN,CAN,72,190,2014,7,207,20192020,N,14,2,5,7
Rasmus Andersson,CGY,R,D,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,14,4,7,11
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,14,9,10,19
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,76,230,2015,2,43,20182019,N,14,0,4,4
Mikko Rantanen,COL,L,R,1996-10-29,Nousiainen,--,FIN,FIN,76,215,2015,1,10,20152016,N,14,6,11,17
A.J. Greer,FLA,L,L,1996-12-14,Joliette,QC,CAN,CAN,75,209,2015,2,39,20162017,N,14,1,3,4
Travis Konecny,PHI,R,R,1997-03-11,London,ON,CAN,CAN,70,192,2015,1,24,20162017,N,14,7,8,15
Jeremy Lauzon,NSH,L,D,1997-04-28,Val-d'Or,QC,CAN,CAN,75,225,2015,2,52,20182019,N,14,0,0,0
Lawson Crouse,UTA,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,214,2015,1,11,20162017,N,14,3,1,4
Mitch Marner,TOR,R,R,1997-05-05,Markham,ON,CAN,CAN,72,180,2015,1,4,20162017,N,14,2,14,16
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,73,191,2015,3,72,20172018,N,14,2,11,13
Evan Rodrigues,FLA,R,C,1993-07-28,Toronto,ON,CAN,CAN,71,182,--,--,--,20152016,N,14,4,3,7
Kevin Stenlund,UTA,R,C,1996-09-20,Stockholm,--,SWE,SWE,77,213,2015,2,58,20182019,N,14,1,1,2
Will Borgen,SEA,R,D,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20182019,N,14,0,1,1
Alexandre Carrier,NSH,R,D,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,14,1,4,5
Niko Mikkola,FLA,L,D,1996-04-27,Kiiminki,--,FIN,FIN,78,204,2015,5,127,20192020,N,14,0,7,7
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20182019,N,14,4,6,10
Steven Lorentz,TOR,L,C,1996-04-13,Kitchener,ON,CAN,CAN,76,216,2015,7,186,20202021,N,14,3,1,4
Ryan Lomberg,CGY,L,L,1994-12-09,Richmond Hill,ON,CAN,CAN,69,184,--,--,--,20172018,N,14,0,2,2
Brandon Tanev,SEA,L,L,1991-12-31,Toronto,ON,CAN,CAN,72,189,--,--,--,20152016,N,14,1,1,2
Clayton Keller,UTA,L,R,1998-07-29,Chesterfield,MO,USA,USA,70,175,2016,1,7,20162017,N,14,6,7,13
Beck Malenstyn,BUF,L,L,1998-02-04,Delta,BC,CAN,CAN,75,209,2016,5,145,20192020,N,14,1,2,3
Jordan Kyrou,STL,R,C,1998-05-05,Toronto,ON,CAN,CAN,73,196,2016,2,35,20182019,N,14,5,7,12
Samuel Girard,COL,L,D,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,14,0,6,6
Mikhail Sergachev,UTA,L,D,1998-06-25,Nizhnekamsk,--,RUS,RUS,75,212,2016,1,9,20162017,N,14,2,8,10
Tage Thompson,BUF,R,C,1997-10-30,Phoenix,AZ,USA,USA,78,220,2016,1,26,20172018,N,14,9,7,16
Brandon Hagel,TBL,L,L,1998-08-27,Saskatoon,SK,CAN,CAN,74,180,2016,6,159,20192020,N,14,7,8,15
Cody Glass,PIT,R,C,1999-04-01,Winnipeg,MB,CAN,CAN,75,201,2017,1,6,20192020,N,14,0,4,4
Casey Mittelstadt,COL,L,C,1998-11-22,Eden Prairie,MN,USA,USA,73,195,2017,1,8,20172018,N,14,6,9,15
Jesper Boqvist,FLA,L,C,1998-10-30,Falun,--,SWE,SWE,73,190,2017,2,36,20192020,N,14,2,2,4
Eeli Tolvanen,SEA,L,R,1999-04-22,Vihti,--,FIN,FIN,70,182,2017,1,30,20172018,N,14,4,1,5
Gabriel Vilardi,WPG,R,C,1999-08-16,Kingston,ON,CAN,CAN,75,216,2017,1,11,20192020,N,14,6,6,12
Owen Tippett,PHI,R,R,1999-02-16,Peterborough,ON,CAN,CAN,73,210,2017,1,10,20172018,N,14,3,6,9
Nick Suzuki,MTL,R,C,1999-08-10,London,ON,CAN,CAN,71,207,2017,1,13,20192020,N,14,4,9,13
Tomas Tatar,NJD,L,L,1990-12-01,Ilava,--,SVK,SVK,70,173,2009,2,60,20102011,N,16,2,3,5
Erik Haula,NJD,L,L,1991-03-23,Pori,--,FIN,FIN,71,191,2009,7,182,20132014,N,16,4,5,9
Brenden Dillon,NJD,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,16,0,4,4
Dougie Hamilton,NJD,R,D,1993-06-17,Toronto,ON,CAN,CAN,78,230,2011,1,9,20122013,N,16,1,8,9
Stefan Noesen,NJD,R,R,1993-02-12,Plano,TX,USA,USA,73,205,2011,1,21,20142015,N,16,6,7,13
Jonas Siegenthaler,NJD,L,D,1997-05-06,Zurich,--,CHE,CHE,74,218,2015,2,57,20182019,N,16,1,4,5
Timo Meier,NJD,L,R,1996-10-08,Herisau,--,CHE,CHE,73,220,2015,1,9,20162017,N,16,6,7,13
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,16,5,13,18
Nico Hischier,NJD,L,C,1999-01-04,Brig,--,CHE,CHE,73,175,2017,1,1,20172018,N,16,10,6,16
Johnathan Kovacevic,NJD,R,D,1997-07-12,Hamilton,ON,CAN,CAN,77,223,2017,3,74,20212022,N,16,1,5,6
Paul Cotter,NJD,L,C,1999-11-16,Canton,MI,USA,USA,74,213,2018,4,115,20212022,N,16,6,4,10
Jack Hughes,NJD,L,C,2001-05-14,Orlando,FL,USA,USA,71,175,2019,1,1,20192020,N,16,5,10,15
Dawson Mercer,NJD,R,C,2001-10-27,Carbonear,NL,CAN,CAN,72,180,2020,1,18,20212022,N,16,3,5,8
Evgeni Malkin,PIT,L,C,1986-07-31,Magnitogorsk,--,RUS,RUS,77,210,2004,1,2,20062007,N,15,4,12,16
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,15,6,9,15
Anze Kopitar,LAK,L,C,1987-08-24,Jesenice,--,SVN,SVN,75,225,2005,1,11,20062007,N,15,5,10,15
Kris Letang,PIT,R,D,1987-04-24,Montréal,QC,CAN,CAN,72,193,2005,3,62,20062007,N,15,2,3,5
Brad Marchand,BOS,L,L,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,3,71,20092010,N,15,4,7,11
Nick Foligno,CHI,L,L,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,15,5,1,6
Trevor Lewis,LAK,R,C,1987-01-08,Salt Lake City,UT,USA,USA,73,205,2006,1,17,20082009,N,15,3,2,5
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,208,2007,1,13,20092010,N,15,4,3,7
Erik Karlsson,PIT,R,D,1990-05-31,Landsbro,--,SWE,SWE,72,186,2008,1,15,20092010,N,15,1,7,8
Tyler Toffoli,SJS,R,C,1992-04-24,Scarborough,ON,CAN,CAN,72,203,2010,2,47,20122013,N,15,6,5,11
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,15,2,1,3
Taylor Hall,CHI,L,L,1991-11-14,Calgary,AB,CAN,CAN,73,210,2010,1,1,20102011,N,15,2,4,6
Mikael Granlund,SJS,L,C,1992-02-26,Oulu,--,FIN,FIN,70,185,2010,1,9,20122013,N,15,6,10,16
Ondrej Palat,NJD,L,L,1991-03-28,Frydek-Mistek,--,CZE,CZE,72,194,2011,7,208,20122013,N,15,2,2,4
Connor Murphy,CHI,R,D,1993-03-26,Dublin,OH,USA,USA,76,212,2011,1,20,20132014,N,15,0,7,7
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,15,1,7,8
Rickard Rakell,PIT,R,R,1993-05-05,Sundbyberg,--,SWE,SWE,73,191,2011,1,30,20122013,N,15,6,5,11
Barclay Goodrow,SJS,L,C,1993-02-26,Toronto,ON,CAN,CAN,74,209,--,--,--,20142015,N,15,1,0,1
Hampus Lindholm,BOS,L,D,1994-01-20,Helsingborg,--,SWE,SWE,76,224,2012,1,6,20132014,N,15,3,3,6
Cody Ceci,SJS,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,15,0,2,2
Teuvo Teravainen,CHI,L,C,1994-09-11,Helsinki,--,FIN,FIN,71,191,2012,1,18,20132014,N,15,4,4,8
Matt Grzelcyk,PIT,L,D,1994-01-05,Charlestown,MA,USA,USA,70,180,2012,3,85,20162017,N,15,0,7,7
Ryan Graves,PIT,L,D,1995-05-21,Yarmouth,NS,CAN,CAN,77,222,2013,4,110,20182019,N,15,0,0,0
